" de","343"
"es ","271"
"de ","220"
"que","175"
"el ","168"
" qu","153"
" el","137"
"la ","136"
"s d","134"
"ue ","114"
" a ","114"
"en ","113"
" la","113"
" i ","106"
"ent","96"
" co","93"
"res","92"
"e l","91"
" pe","91"
"s a","90"
"ls ","90"
"na ","87"
" un","84"
"s, ","83"
"del","82"
"ar ","82"
" se","82"
"est","80"
"per","78"
"a d","78"
"és ","77"
"les","77"
" d’","75"
" no","70"
"er ","69"
"ns ","68"
" en","68"
"re ","65"
"ra ","65"
"nt ","65"
"ant","65"
" al","65"
" po","64"
" l’","64"
"tre","60"
"un ","59"
"al ","59"
"a l","58"
"ió ","57"
"els","57"
"a a","57"
" ma","57"
" le","57"
"ia ","56"
"ció","55"
"men","54"
"aci","53"
"una","51"
"a m","50"
"sta","49"
"s i","48"
"a, ","48"
"ues","47"
"ta ","47"
"s p","46"
" fa","46"
" es","46"
" ca","46"
"ter","45"
"com","45"
"amb","45"
"a c","45"
"s e","44"
"a p","44"
"des","43"
"at ","43"
" re","43"
" am","43"
"s. ","42"
"s q","42"
"ons","42"
", e","42"
" és","41"
" vi","41"
" pa","41"
" ha","41"
"mb ","40"
"bre","39"
" ba","39"
"ort","38"
"nta","38"
"ies","38"
", a","38"
"ts ","37"
"tat","37"
"r a","37"
"no ","37"
"ita","37"
"a e","37"
" in","37"
"t d","36"
"os ","36"
"om ","35"
"n a","35"
"més","35"
"l p","35"
"e d","35"
"a i","35"
" ll","35"
"tes","34"
"ion","34"
"va ","33"
"str","33"
"s m","33"
"ran","33"
"nte","33"
"ina","33"
"da ","33"
"ona","32"
"es,","32"
"em ","32"
" pr","32"
"e e","31"
"e c","31"
"any","31"
"ada","31"
"a q","31"
"ria","30"
"e s","30"
"cio","30"
"ara","30"
"aqu","30"
" mé","30"
" an","30"
"s s","29"
"s c","29"
" mo","29"
" me","29"
" fo","29"
"n e","28"
"ist","28"
"d’u","28"
"con","28"
"an ","28"
"alt","28"
" ve","28"
" va","28"
" tr","28"
" mi","28"
"’un","27"
"ure","27"
"tra","27"
"l s","27"
"l d","27"
"eri","27"
"equ","27"
"a s","27"
"a f","27"
" te","27"
" hi","27"
"t, ","26"
"t a","26"
"seq","26"
"l f","26"
"i d","26"
"far","26"
"e p","26"
"ura","25"
"uoi","25"
"s b","25"
"ren","25"
"quo","25"
"pro","25"
"ost","25"
"mar","25"
"ins","25"
"i h","25"
"ers","25"
"ell","25"
". E","25"
", l","25"
" si","25"
" di","25"
"s t","24"
"por","24"
"par","24"
"lla","24"
"hi ","24"
"era","24"
" ar","24"
"tan","23"
"t e","23"
"l m","23"
"int","23"
"i e","23"
"ha ","23"
